STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,EXRATE,STATISTICAL_MEASURES,TRANSFORMATION,DERIVATION_TYPE,OVERLAP,IFS_FLAG,STATUS
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1955,14.4451109778044,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1956,17.1965606878624,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1957,17.1965606878624,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1958,17.1965606878624,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1959,17.1965606878624,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1960,17.1965606878624,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1961,17.1965606878624,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1962,17.1965606878624,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1963,35.1096447377192,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1964,38.6922615476905,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1965,38.6922615476905,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1966,38.6922615476905,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1967,38.6922615476905,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1968,38.6922615476905,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1969,38.6922615476905,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1970,38.6922615476905,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1971,38.6922615476905,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1972,38.6922615476905,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1973,38.6922615476905,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1974,38.3787089832034,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1975,34.9296307738452,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1976,34.9296307738452,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1977,34.9296307738452,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1978,34.9296307738452,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1979,33.8461643196361,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1980,34.3694584015197,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1981,38.5616585156635,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1982,39.276429270146,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1983,39.276429270146,0,,,,,,R,OL,true,
dataflow,IMF.STA:ER(4.0.1),R,AFG,XDC_USD,PA_RT,A,1984,39.276429270146,0,,,,,,R,OL,true,
