"ref_area","source","indicator","sex","classif1","time","obs_value"
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE15","2022",7402.471
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_Y15-24","2022",2739.01
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE25","2022",4663.461
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE15","2022",6969.183
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_Y15-24","2022",2559.278
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE25","2022",4409.906
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE15","2022",433.288
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_Y15-24","2022",179.733
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE25","2022",253.555
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE15","2021",8032.347
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_Y15-24","2021",2785.216
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE25","2021",5247.131
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE15","2021",6668.173
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_Y15-24","2021",2261.337
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE25","2021",4406.836
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE15","2021",1364.174
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_Y15-24","2021",523.878
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE25","2021",840.295
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE15","2020",7999.582
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_Y15-24","2020",2408.961
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE25","2020",5590.622
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE15","2020",6503.918
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_Y15-24","2020",1874.844
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_M","AGE_YTHADULT_YGE25","2020",4629.074
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE15","2020",1495.664
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_Y15-24","2020",534.116
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_F","AGE_YTHADULT_YGE25","2020",961.548
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE15","2019",8164.302
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_Y15-24","2019",2730.216
"AFG","XA:2198","EMP_2EMP_SEX_AGE_NB","SEX_T","AGE_YTHADULT_YGE25","2019",5434.086
