country,country_name,iso3,year,quarter,time,period,t,realGDPsa_usd_pa_empl,y,tau,y_raw
GHA,Ghana,GHA,2023,4,2023.75,2023-Q4,2023q4,0.0019612111097679,-1.573359621146773,-4.660833462275772,-6.234193083422545
GHA,Ghana,GHA,2024,1,2024.0,2024-Q1,2024q1,0.0020041556379946,-1.55372490066204,-4.658807534443185,-6.212532435105225
GHA,Ghana,GHA,2024,2,2024.25,2024-Q2,2024q2,0.0019517650416579,-1.5850529124895516,-4.653968253749619,-6.239021166239171
GHA,Ghana,GHA,2024,3,2024.5,2024-Q3,2024q3,0.0019316015966926,-1.6048636634574711,-4.644542113891171,-6.249405777348642
GHA,Ghana,GHA,2024,4,2024.75,2024-Q4,2024q4,0.0018781125018068,-1.6351150033046622,-4.642372991570202,-6.277487994874864
GTM,Guatemala,GTM,2002,1,2002.0,2002-Q1,2002q1,0.0016950709508369,-1.2462486539818132,-5.133782026143144,-6.380030680124957
GTM,Guatemala,GTM,2002,2,2002.25,2002-Q2,2002q2,0.0017380250470864,-1.23333127759597,-5.121674563204693,-6.355005840800663
GTM,Guatemala,GTM,2002,3,2002.5,2002-Q3,2002q3,0.0017513952389088,-1.228704619160383,-5.118637910168246,-6.347342529328629
GTM,Guatemala,GTM,2002,4,2002.75,2002-Q4,2002q4,0.0017677203296662,-1.225619925021606,-5.112444586835521,-6.338064511857127
GTM,Guatemala,GTM,2003,1,2003.0,2003-Q1,2003q1,0.0017566445592938,-1.2365982992825097,-5.107751490735895,-6.344349790018405
GTM,Guatemala,GTM,2003,2,2003.25,2003-Q2,2003q2,0.0017509434551293,-1.2495026530312394,-5.0980978660702085,-6.347600519101448
GTM,Guatemala,GTM,2003,3,2003.5,2003-Q3,2003q3,0.0017531679542347,-1.2551853007705098,-5.091145567258611,-6.346330868029121
GTM,Guatemala,GTM,2003,4,2003.75,2003-Q4,2003q4,0.001751192047745,-1.2648348066775394,-5.082623746120256,-6.347458552797796
GTM,Guatemala,GTM,2004,1,2004.0,2004-Q1,2004q1,0.0017907715821584,-1.2477159109205536,-5.077392789599783,-6.325108700520336
GTM,Guatemala,GTM,2004,2,2004.25,2004-Q2,2004q2,0.0017855079408655,-1.2615469643131094,-5.066505379208181,-6.32805234352129
GTM,Guatemala,GTM,2004,3,2004.5,2004-Q3,2004q3,0.0018022453373608,-1.2630008682535117,-5.05572111355063,-6.318721981804142
GTM,Guatemala,GTM,2004,4,2004.75,2004-Q4,2004q4,0.0018118647301242,-1.2663982838564722,-5.047000442540833,-6.313398726397305
GTM,Guatemala,GTM,2005,1,2005.0,2005-Q1,2005q1,0.0018000769199198,-1.281317824288256,-5.038608057416026,-6.319925881704282
GTM,Guatemala,GTM,2005,2,2005.25,2005-Q2,2005q2,0.0018250407819998,-1.2841614068045093,-5.021991539091587,-6.3061529458960965
GTM,Guatemala,GTM,2005,3,2005.5,2005-Q3,2005q3,0.0018004997634769,-1.305703583256018,-5.013987422984567,-6.319691006240585
GTM,Guatemala,GTM,2005,4,2005.75,2005-Q4,2005q4,0.0018075878022038,-1.314999337011332,-5.000762691500214,-6.315762028511546
GTM,Guatemala,GTM,2006,1,2006.0,2006-Q1,2006q1,0.0018429545796402,-1.3048807987034134,-4.9915044466911445,-6.296385245394558
GTM,Guatemala,GTM,2006,2,2006.25,2006-Q2,2006q2,0.0018287377271313,-1.3212288922635738,-4.982900424458578,-6.304129316722152
GTM,Guatemala,GTM,2006,3,2006.5,2006-Q3,2006q3,0.0018619477389876,-1.3141454552585952,-4.971986712401332,-6.286132167659927
GTM,Guatemala,GTM,2006,4,2006.75,2006-Q4,2006q4,0.001886222695677,-1.3120343364520934,-4.961144686987775,-6.2731790234398686
GTM,Guatemala,GTM,2007,1,2007.0,2007-Q1,2007q1,0.0019280870850253,-1.29762186663514,-4.953605048597126,-6.251226915232266
GTM,Guatemala,GTM,2007,2,2007.25,2007-Q2,2007q2,0.0019158912279802,-1.314295130671093,-4.943277240739113,-6.257572371410206
GTM,Guatemala,GTM,2007,3,2007.5,2007-Q3,2007q3,0.0019281720829274,-1.3211118016729024,-4.930071030473444,-6.2511828321463465
GTM,Guatemala,GTM,2007,4,2007.75,2007-Q4,2007q4,0.0019129324205609,-1.3395980234964746,-4.919519892070306,-6.25911791556678
GTM,Guatemala,GTM,2008,1,2008.0,2008-Q1,2008q1,0.0019378040832451,-1.3340991252034478,-4.91210073765707,-6.246199862860518
GTM,Guatemala,GTM,2008,2,2008.25,2008-Q2,2008q2,0.0019629165754312,-1.3305199865713035,-4.902803876526372,-6.2333238630976755
GTM,Guatemala,GTM,2008,3,2008.5,2008-Q3,2008q3,0.0019261756424695,-1.3463544843440962,-4.905864289953131,-6.252218774297227
GTM,Guatemala,GTM,2008,4,2008.75,2008-Q4,2008q4,0.0019046755190397,-1.3466029154371748,-4.916840700687063,-6.2634436161242375
GTM,Guatemala,GTM,2009,1,2009.0,2009-Q1,2009q1,0.00187608954727,-1.3443424714244863,-4.934223225026451,-6.278565696450937
GTM,Guatemala,GTM,2009,2,2009.25,2009-Q2,2009q2,0.0018814771142519,-1.349017246401095,-4.926680865168958,-6.275698111570053
GTM,Guatemala,GTM,2009,3,2009.5,2009-Q3,2009q3,0.0019057054296626,-1.3492455758074096,-4.913657458856944,-6.262903034664354
GTM,Guatemala,GTM,2009,4,2009.75,2009-Q4,2009q4,0.0019016100447389,-1.3634196873405422,-4.901634672335231,-6.265054359675773
GTM,Guatemala,GTM,2010,1,2010.0,2010-Q1,2010q1,0.0019015812321084,-1.3679766550703558,-4.897092856423142,-6.265069511493498
GTM,Guatemala,GTM,2010,2,2010.25,2010-Q2,2010q2,0.0018978440330097,-1.3850337621994946,-4.882002994360395,-6.2670367565598895
GTM,Guatemala,GTM,2010,3,2010.5,2010-Q3,2010q3,0.0018825385786062,-1.4007887983022593,-4.874345306914445,-6.275134105216704
GTM,Guatemala,GTM,2010,4,2010.75,2010-Q4,2010q4,0.001899112965363,-1.4034508393702518,-4.862917522787971,-6.2663683621582225
GTM,Guatemala,GTM,2011,1,2011.0,2011-Q1,2011q1,0.0019352026977275,-1.3848484303821946,-4.862694774256901,-6.247543204639095
GTM,Guatemala,GTM,2011,2,2011.25,2011-Q2,2011q2,0.0019194605438127,-1.4024702640905895,-4.853240835094632,-6.255711099185222
GTM,Guatemala,GTM,2011,3,2011.5,2011-Q3,2011q3,0.001933120359376,-1.4011473386738285,-4.847472476435435,-6.248619815109263
GTM,Guatemala,GTM,2011,4,2011.75,2011-Q4,2011q4,0.001905826052893,-1.4164711058409551,-4.8463686349841675,-6.262839740825123
GTM,Guatemala,GTM,2012,1,2012.0,2012-Q1,2012q1,0.0017738002015148,-1.4881892386357851,-4.846441788779875,-6.33463102741566
GTM,Guatemala,GTM,2012,2,2012.25,2012-Q2,2012q2,0.0017379593707446,-1.5120622575135272,-4.842981371915572,-6.355043629429099
GTM,Guatemala,GTM,2012,3,2012.5,2012-Q3,2012q3,0.0017527317339399,-1.5094659446594765,-4.83711377264421,-6.346579717303687
GTM,Guatemala,GTM,2012,4,2012.75,2012-Q4,2012q4,0.0017320962046969,-1.5296161881265418,-4.828806736820933,-6.358422924947475
GTM,Guatemala,GTM,2013,1,2013.0,2013-Q1,2013q1,0.0018962065054027,-1.4458393773874816,-4.822060587341146,-6.2678999647286275
GTM,Guatemala,GTM,2013,2,2013.25,2013-Q2,2013q2,0.0019124273399143,-1.447179151089065,-4.8122028340979135,-6.2593819851869785
GTM,Guatemala,GTM,2013,3,2013.5,2013-Q3,2013q3,0.0018976060888621,-1.4606888618961724,-4.806473278552463,-6.267162140448636
GTM,Guatemala,GTM,2013,4,2013.75,2013-Q4,2013q4,0.0019163350520216,-1.4530659133208417,-4.804274830825755,-6.257340744146597
GTM,Guatemala,GTM,2014,1,2014.0,2014-Q1,2014q1,0.0018791690649782,-1.4756049972120096,-4.801320589346911,-6.276925586558921
GTM,Guatemala,GTM,2014,2,2014.25,2014-Q2,2014q2,0.0019017314425963,-1.4719376503574075,-4.793052871843952,-6.2649905222013595
GTM,Guatemala,GTM,2014,3,2014.5,2014-Q3,2014q3,0.0018851763152717,-1.4827988376477306,-4.79093508885549,-6.273733926503221
GTM,Guatemala,GTM,2014,4,2014.75,2014-Q4,2014q4,0.0019105079114197,-1.479484602442982,-4.780901547622394,-6.260386150065376
GTM,Guatemala,GTM,2015,1,2015.0,2015-Q1,2015q1,0.0019075404697661,-1.4808285004190713,-4.781112078482632,-6.2619405789017035
GTM,Guatemala,GTM,2015,2,2015.25,2015-Q2,2015q2,0.0019146569790671,-1.483093216940353,-4.775123578656211,-6.258216795596564
GTM,Guatemala,GTM,2015,3,2015.5,2015-Q3,2015q3,0.0019214171780849,-1.4850213022610568,-4.7696709493673675,-6.254692251628424
GTM,Guatemala,GTM,2015,4,2015.75,2015-Q4,2015q4,0.0019165857561392,-1.4860870604751257,-4.77112286744515,-6.257209927920275
GTM,Guatemala,GTM,2016,1,2016.0,2016-Q1,2016q1,0.0018869287912425,-1.5012895425530433,-4.771515207245181,-6.272804749798224
GTM,Guatemala,GTM,2016,2,2016.25,2016-Q2,2016q2,0.0018765180675748,-1.5177548016845508,-4.760582509413776,-6.278337311098327
GTM,Guatemala,GTM,2016,3,2016.5,2016-Q3,2016q3,0.0019185432152406,-1.494773212213711,-4.7614159107813645,-6.2561891229950755
GTM,Guatemala,GTM,2016,4,2016.75,2016-Q4,2016q4,0.0018981980416645,-1.514503673798255,-4.752346568150435,-6.26685024194869
GTM,Guatemala,GTM,2017,1,2017.0,2017-Q1,2017q1,0.00193086294383,-1.5022680531208392,-4.747520201717942,-6.249788254838781
GTM,Guatemala,GTM,2017,2,2017.25,2017-Q2,2017q2,0.0019013769834203,-1.5276919766377208,-4.7374849505446806,-6.265176927182401
GTM,Guatemala,GTM,2017,3,2017.5,2017-Q3,2017q3,0.0018850234653661,-1.537915924432773,-4.735899085256792,-6.273815009689565
