country,country_name,iso3,year,quarter,time,period,t,realGDPsa_usd_pa_empl,y,tau,y_raw
TUR,Turkey,TUR,2024,4,2024.75,2024-Q4,2024q4,0.012546811164267,-0.5851265443572009,-3.7931621918302563,-4.378288736187457
TUR,Turkey,TUR,2025,1,2025.0,2025-Q1,2025q1,0.0126106100785878,-0.5843494619942451,-3.788867287643077,-4.373216749637322
TUR,Turkey,TUR,2025,2,2025.25,2025-Q2,2025q2,0.0127400564033973,-0.5791151365717981,-3.7838890650078882,-4.363004201579686
TUR,Turkey,TUR,2025,3,2025.5,2025-Q3,2025q3,0.0128647097557014,-0.5740142775736365,-3.7792531166987122,-4.353267394272349
TUR,Turkey,TUR,2025,4,2025.75,2025-Q4,2025q4,0.0129882011872985,-0.5655357065260134,-3.7781782280907708,-4.343713934616784
URY,Uruguay,URY,1997,1,1997.0,1997-Q1,1997q1,0.0068862338121496,-0.7197726606887942,-4.258458299241057,-4.978230959929851
URY,Uruguay,URY,1997,2,1997.25,1997-Q2,1997q2,0.0076322520852286,-0.6299887309615118,-4.245383584384926,-4.8753723153464374
URY,Uruguay,URY,1997,3,1997.5,1997-Q3,1997q3,0.0075248172915892,-0.6488633588022239,-4.240685390027224,-4.889548748829448
URY,Uruguay,URY,1997,4,1997.75,1997-Q4,1997q4,0.0075385236387642,-0.6505103183761785,-4.237218601635603,-4.8877289200117815
URY,Uruguay,URY,1998,1,1998.0,1998-Q1,1998q1,0.0079027782999457,-0.5990039062484591,-4.241536991549432,-4.840540897797891
URY,Uruguay,URY,1998,2,1998.25,1998-Q2,1998q2,0.0078562105778681,-0.6042085584119619,-4.242242345158806,-4.8464509035707675
URY,Uruguay,URY,1998,3,1998.5,1998-Q3,1998q3,0.0080850353048165,-0.5782418390848667,-4.239498580171921,-4.817740419256788
URY,Uruguay,URY,1998,4,1998.75,1998-Q4,1998q4,0.0083713738703301,-0.5456153384839153,-4.237321927252826,-4.7829372657367415
URY,Uruguay,URY,1999,1,1999.0,1999-Q1,1999q1,0.0081052393551267,-0.5762588167227625,-4.238985775721646,-4.815244592444408
URY,Uruguay,URY,1999,2,1999.25,1999-Q2,1999q2,0.0082465502790605,-0.5622664819646133,-4.235693832111851,-4.797960314076464
URY,Uruguay,URY,1999,3,1999.5,1999-Q3,1999q3,0.008258672635192,-0.567353735988779,-4.229137666292409,-4.796491402281188
URY,Uruguay,URY,1999,4,1999.75,1999-Q4,1999q4,0.0082571654683507,-0.5772451224216963,-4.219428791559599,-4.796673913981295
URY,Uruguay,URY,2000,1,2000.0,2000-Q1,2000q1,0.0081698359305617,-0.5919577500126953,-4.215348702237767,-4.8073064522504625
URY,Uruguay,URY,2000,2,2000.25,2000-Q2,2000q2,0.0084501226675771,-0.5612496652068737,-4.21232465563852,-4.773574320845394
URY,Uruguay,URY,2000,3,2000.5,2000-Q3,2000q3,0.0080039875981145,-0.618289677816235,-4.209525733906572,-4.827815411722807
URY,Uruguay,URY,2000,4,2000.75,2000-Q4,2000q4,0.0079952851421222,-0.6246856819294271,-4.20421758634684,-4.828903268276267
URY,Uruguay,URY,2001,1,2001.0,2001-Q1,2001q1,0.0082754909045758,-0.5899939750140097,-4.2044630606487825,-4.794457035662792
URY,Uruguay,URY,2001,2,2001.25,2001-Q2,2001q2,0.0080953175888823,-0.6116276209897835,-4.204841838910621,-4.8164694599004045
URY,Uruguay,URY,2001,3,2001.5,2001-Q3,2001q3,0.0081345349260645,-0.6060625775908148,-4.205574131861074,-4.811636709451889
URY,Uruguay,URY,2001,4,2001.75,2001-Q4,2001q4,0.0078465052979763,-0.6459295475957099,-4.2017574836875315,-4.847687031283241
URY,Uruguay,URY,2002,1,2002.0,2002-Q1,2002q1,0.007723767994101,-0.6714278954720205,-4.1920250564093395,-4.86345295188136
URY,Uruguay,URY,2002,2,2002.25,2002-Q2,2002q2,0.0079663868847606,-0.648299514356772,-4.184224714040406,-4.832524228397178
URY,Uruguay,URY,2002,3,2002.5,2002-Q3,2002q3,0.0078773786952342,-0.6627128025612814,-4.1810472807813746,-4.843760083342656
URY,Uruguay,URY,2002,4,2002.75,2002-Q4,2002q4,0.0079986408956093,-0.6519929011233536,-4.176490738660394,-4.828483639783748
URY,Uruguay,URY,2003,1,2003.0,2003-Q1,2003q1,0.0079872970936248,-0.6574505850115635,-4.172452277578652,-4.829902862590216
URY,Uruguay,URY,2003,2,2003.25,2003-Q2,2003q2,0.0082974636332583,-0.6241909707294955,-4.167614426505535,-4.791805397235031
URY,Uruguay,URY,2003,3,2003.5,2003-Q3,2003q3,0.0080805934298358,-0.6587654645622294,-4.159524500297194,-4.8182899648594235
URY,Uruguay,URY,2003,4,2003.75,2003-Q4,2003q4,0.0081861673951399,-0.6548592570846532,-4.150450195082049,-4.805309452166703
URY,Uruguay,URY,2004,1,2004.0,2004-Q1,2004q1,0.0081811037560626,-0.6638157397002127,-4.14211246426599,-4.805928203966203
URY,Uruguay,URY,2004,2,2004.25,2004-Q2,2004q2,0.007992687158593,-0.6954993288193698,-4.133728931707722,-4.829228260527092
URY,Uruguay,URY,2004,3,2004.5,2004-Q3,2004q3,0.0080931171717587,-0.6899077925346555,-4.126833517877511,-4.816741310412167
URY,Uruguay,URY,2004,4,2004.75,2004-Q4,2004q4,0.0082301099601923,-0.6847741570766201,-4.115181746407581,-4.799955903484201
URY,Uruguay,URY,2005,1,2005.0,2005-Q1,2005q1,0.0085463702360911,-0.6532922245058659,-4.108956395458099,-4.762248619963965
URY,Uruguay,URY,2005,2,2005.25,2005-Q2,2005q2,0.0086551968837356,-0.6530882971227561,-4.096507045513556,-4.7495953426363124
URY,Uruguay,URY,2005,3,2005.5,2005-Q3,2005q3,0.0089631443795008,-0.6245298401562538,-4.09010433819026,-4.714634178346514
URY,Uruguay,URY,2005,4,2005.75,2005-Q4,2005q4,0.0091420919599922,-0.6143735725991908,-4.080492467456802,-4.6948660400559925
URY,Uruguay,URY,2006,1,2006.0,2006-Q1,2006q1,0.0067219423882466,-0.9301025194890116,-4.0722756008537475,-5.002378120342759
URY,Uruguay,URY,2006,2,2006.25,2006-Q2,2006q2,0.0066628454284634,-0.9461874913029078,-4.065021152857578,-5.011208644160486
URY,Uruguay,URY,2006,3,2006.5,2006-Q3,2006q3,0.006619268372645,-0.9598353301499465,-4.057935102718149,-5.017770432868096
URY,Uruguay,URY,2006,4,2006.75,2006-Q4,2006q4,0.0066442707939775,-0.9658690910920154,-4.048131239296932,-5.0140003303889475
URY,Uruguay,URY,2007,1,2007.0,2007-Q1,2007q1,0.0068302502243055,-0.9458305154797761,-4.0405634545284475,-4.986393970008224
URY,Uruguay,URY,2007,2,2007.25,2007-Q2,2007q2,0.006891239082712,-0.9451136605605841,-4.032390711725684,-4.977504372286268
URY,Uruguay,URY,2007,3,2007.5,2007-Q3,2007q3,0.006975688400027,-0.9417792213389475,-4.023545039461452,-4.9653242608004
URY,Uruguay,URY,2007,4,2007.75,2007-Q4,2007q4,0.0070809997209321,-0.9357167918502363,-4.014623385873068,-4.950340177723304
URY,Uruguay,URY,2008,1,2008.0,2008-Q1,2008q1,0.0071360569388637,-0.9296680971946261,-4.012926807440781,-4.942594904635407
URY,Uruguay,URY,2008,2,2008.25,2008-Q2,2008q2,0.0072165143102411,-0.9217643224927974,-4.009618902676689,-4.931383225169486
URY,Uruguay,URY,2008,3,2008.5,2008-Q3,2008q3,0.0074090562382718,-0.8924455792579069,-4.0126066317837905,-4.905052211041697
URY,Uruguay,URY,2008,4,2008.75,2008-Q4,2008q4,0.0073549759094733,-0.8860342017667726,-4.026343998561848,-4.912378200328621
URY,Uruguay,URY,2009,1,2009.0,2009-Q1,2009q1,0.0071634785463197,-0.8969824851443473,-4.041777100351081,-4.938759585495428
URY,Uruguay,URY,2009,2,2009.25,2009-Q2,2009q2,0.0073374357897795,-0.8797368996825812,-4.03502894515065,-4.914765844833231
URY,Uruguay,URY,2009,3,2009.5,2009-Q3,2009q3,0.007445418738279,-0.8768980942849067,-4.023258275914698,-4.900156370199605
URY,Uruguay,URY,2009,4,2009.75,2009-Q4,2009q4,0.0076643669458695,-0.854678222540322,-4.016495137761089,-4.871173360301411
URY,Uruguay,URY,2010,1,2010.0,2010-Q1,2010q1,0.007366539071606,-0.8988704585809675,-4.011936821292046,-4.910807279873014
URY,Uruguay,URY,2010,2,2010.25,2010-Q2,2010q2,0.0080501809971014,-0.8244284374930384,-3.9976322661994157,-4.822060703692454
URY,Uruguay,URY,2010,3,2010.5,2010-Q3,2010q3,0.0079042622531589,-0.8485898111657146,-3.9917633281188003,-4.840353139284515
URY,Uruguay,URY,2010,4,2010.75,2010-Q4,2010q4,0.0072847360100213,-0.9391983538674387,-3.982775723595462,-4.921974077462901
URY,Uruguay,URY,2011,1,2011.0,2011-Q1,2011q1,0.0070425232714254,-0.9748193220398056,-3.9809694317526487,-4.955788753792454
URY,Uruguay,URY,2011,2,2011.25,2011-Q2,2011q2,0.007053628037885,-0.9799735323378731,-3.974239646886294,-4.954213179224167
URY,Uruguay,URY,2011,3,2011.5,2011-Q3,2011q3,0.0072414609991529,-0.9590099301468427,-3.9689223673325276,-4.92793229747937
URY,Uruguay,URY,2011,4,2011.75,2011-Q4,2011q4,0.0071669485083175,-0.9694536941344056,-3.9688216124135236,-4.938275306547929
URY,Uruguay,URY,2012,1,2012.0,2012-Q1,2012q1,0.0074509678825652,-0.9316382747550866,-3.9677730631512356,-4.899411337906322
URY,Uruguay,URY,2012,2,2012.25,2012-Q2,2012q2,0.0074483863887615,-0.9337013105923084,-3.96605655157037,-4.899757862162678
URY,Uruguay,URY,2012,3,2012.5,2012-Q3,2012q3,0.0080934666261406,-0.8545290668922014,-3.962169065245127,-4.816698132137328
URY,Uruguay,URY,2012,4,2012.75,2012-Q4,2012q4,0.0080401193548166,-0.8660618049204949,-3.957249545854512,-4.823311350775007
URY,Uruguay,URY,2013,1,2013.0,2013-Q1,2013q1,0.007695886906813,-0.916346741704678,-3.950722519082708,-4.867069260787386
URY,Uruguay,URY,2013,2,2013.25,2013-Q2,2013q2,0.0078035369841478,-0.9112389856781196,-3.9419392028840345,-4.853178188562154
URY,Uruguay,URY,2013,3,2013.5,2013-Q3,2013q3,0.0078825199312652,-0.9065616304286701,-3.936546007573413,-4.843107638002083
URY,Uruguay,URY,2013,4,2013.75,2013-Q4,2013q4,0.007980576670977,-0.8968727697777306,-3.9338718358201863,-4.830744605597917
URY,Uruguay,URY,2014,1,2014.0,2014-Q1,2014q1,0.0077225692680261,-0.9338230723493846,-3.9297850912248142,-4.863608163574199
URY,Uruguay,URY,2014,2,2014.25,2014-Q2,2014q2,0.0079465734358688,-0.9100049472573897,-3.925009510328019,-4.835014457585409
URY,Uruguay,URY,2014,3,2014.5,2014-Q3,2014q3,0.0079847172486606,-0.9072746590520997,-3.922951249201781,-4.8302259082538805
URY,Uruguay,URY,2014,4,2014.75,2014-Q4,2014q4,0.0080000365653987,-0.9120973267772516,-3.916211839860657,-4.828309166637909
URY,Uruguay,URY,2015,1,2015.0,2015-Q1,2015q1,0.0080277273111714,-0.9121898103845743,-3.912664005458681,-4.824853815843255
URY,Uruguay,URY,2015,2,2015.25,2015-Q2,2015q2,0.0077966768412055,-0.9459847473725578,-3.908072934696711,-4.854057682069269
URY,Uruguay,URY,2015,3,2015.5,2015-Q3,2015q3,0.0081183183798916,-0.9096230436819308,-3.9040091986464356,-4.813632242328366
URY,Uruguay,URY,2015,4,2015.75,2015-Q4,2015q4,0.0079598704736601,-0.9284239805011913,-3.904918570910301,-4.8333425514114925
URY,Uruguay,URY,2016,1,2016.0,2016-Q1,2016q1,0.0080282843191774,-0.9186147787039793,-3.9061696540298154,-4.824784432733795
URY,Uruguay,URY,2016,2,2016.25,2016-Q2,2016q2,0.0082346760344038,-0.9005667557616208,-3.8988345004492952,-4.799401256210916
URY,Uruguay,URY,2016,3,2016.5,2016-Q3,2016q3,0.0080818398811787,-0.9198111547413168,-3.8983245695626927,-4.8181357243040095
URY,Uruguay,URY,2016,4,2016.75,2016-Q4,2016q4,0.0082523563295471,-0.9072114948536791,-3.8900450088595893,-4.797256503713268
URY,Uruguay,URY,2017,1,2017.0,2017-Q1,2017q1,0.0084161560547551,-0.8922243342891916,-3.885377746241759,-4.777602080530951
URY,Uruguay,URY,2017,2,2017.25,2017-Q2,2017q2,0.0083034105610977,-0.9133795532540994,-3.877709384350654,-4.791088937604753
URY,Uruguay,URY,2017,3,2017.5,2017-Q3,2017q3,0.0082241361450808,-0.9264172224077134,-3.874264793392512,-4.800682015800225
URY,Uruguay,URY,2017,4,2017.75,2017-Q4,2017q4,0.008318024129413,-0.920519560481059,-3.8688109763174103,-4.789330536798469
URY,Uruguay,URY,2018,1,2018.0,2018-Q1,2018q1,0.008446210174917,-0.9096829241388726,-3.864354514090216,-4.774037438229088
URY,Uruguay,URY,2018,2,2018.25,2018-Q2,2018q2,0.0083325466413897,-0.9308675503737969,-3.856718599897732,-4.787586150271529
URY,Uruguay,URY,2018,3,2018.5,2018-Q3,2018q3,0.0083263388054519,-0.9330468434949455,-3.8552845950787273,-4.788331438573673
URY,Uruguay,URY,2018,4,2018.75,2018-Q4,2018q4,0.0083197308854401,-0.9331195593730248,-3.85600581079911,-4.789125370172135
URY,Uruguay,URY,2019,1,2019.0,2019-Q1,2019q1,0.0084111524364305,-0.9257790259762477,-3.8524177567288134,-4.778196782705061
URY,Uruguay,URY,2019,2,2019.25,2019-Q2,2019q2,0.0085830184942001,-0.9133761711565089,-3.8445934503440977,-4.757969621500607
URY,Uruguay,URY,2019,3,2019.5,2019-Q3,2019q3,0.0084754136747622,-0.9274268852045218,-3.843158930520948,-4.77058581572547
URY,Uruguay,URY,2019,4,2019.75,2019-Q4,2019q4,0.0083784858405464,-0.9358118146242598,-3.8462762534754322,-4.782088068099692
URY,Uruguay,URY,2020,1,2020.0,2020-Q1,2020q1,0.00841050113071,-0.9330410522879795,-3.845233167004184,-4.778274219292164
URY,Uruguay,URY,2020,2,2020.25,2020-Q2,2020q2,0.0079158378632722,-0.9256748829223298,-3.913214850682838,-4.838889733605168
URY,Uruguay,URY,2020,3,2020.5,2020-Q3,2020q3,0.0082612981915129,-0.9377527355270394,-3.858420802228776,-4.7961735377558155
URY,Uruguay,URY,2020,4,2020.75,2020-Q4,2020q4,0.0083117540717531,-0.9407694384903666,-3.84931517426524,-4.7900846127556065
URY,Uruguay,URY,2021,1,2021.0,2021-Q1,2021q1,0.0081604934978551,-0.9781366630578026,-3.8303139710986986,-4.808450634156501
URY,Uruguay,URY,2021,2,2021.25,2021-Q2,2021q2,0.0082681955166231,-0.9700693732564769,-3.8252696167954214,-4.795338990051898
URY,Uruguay,URY,2021,3,2021.5,2021-Q3,2021q3,0.0084092859451227,-0.9554708150997024,-3.8229478989573398,-4.778418714057042
URY,Uruguay,URY,2021,4,2021.75,2021-Q4,2021q4,0.0084206183642344,-0.9624207782644185,-3.814651235227236,-4.7770720134916544
URY,Uruguay,URY,2022,1,2022.0,2022-Q1,2022q1,0.0084392610722868,-0.961146483865813,-3.813714041018162,-4.774860524883975
URY,Uruguay,URY,2022,2,2022.25,2022-Q2,2022q2,0.0086742205418556,-0.9342809480501635,-3.8131188602188293,-4.747399808268993
URY,Uruguay,URY,2022,3,2022.5,2022-Q3,2022q3,0.0085305795569948,-0.9508789827626964,-3.8132189936481904,-4.764097976410887
URY,Uruguay,URY,2022,4,2022.75,2022-Q4,2022q4,0.0083597702587289,-0.9718163402780395,-3.8125079929983863,-4.784324333276426
URY,Uruguay,URY,2023,1,2023.0,2023-Q1,2023q1,0.0085583616301198,-0.9471548982845568,-3.8136916072134217,-4.7608465054979785
URY,Uruguay,URY,2023,2,2023.25,2023-Q2,2023q2,0.0082626694665277,-0.9840816476343046,-3.8119259160593084,-4.796007563693613
URY,Uruguay,URY,2023,3,2023.5,2023-Q3,2023q3,0.0082414493080673,-0.9868407511095167,-3.811738312516156,-4.798579063625673
URY,Uruguay,URY,2023,4,2023.75,2023-Q4,2023q4,0.0083973043803504,-0.9700458330206718,-3.809798698715042,-4.779844531735714
URY,Uruguay,URY,2024,1,2024.0,2024-Q1,2024q1,0.0083290197630007,-0.9812269796043309,-3.8067825256334804,-4.788009505237811
URY,Uruguay,URY,2024,2,2024.25,2024-Q2,2024q2,0.0084921309052166,-0.9666024057135156,-3.8020129144243557,-4.768615320137871
URY,Uruguay,URY,2024,3,2024.5,2024-Q3,2024q3,0.0084917340321316,-0.9724591104796407,-3.7962029449668937,-4.768662055446534
URY,Uruguay,URY,2024,4,2024.75,2024-Q4,2024q4,0.0084830626045443,-0.9765215463530081,-3.7931621918302563,-4.769683738183264
URY,Uruguay,URY,2025,1,2025.0,2025-Q1,2025q1,0.0084689567123991,-0.9824806647128028,-3.788867287643077,-4.77134795235588
URY,Uruguay,URY,2025,2,2025.25,2025-Q2,2025q2,0.0084999510640817,-0.9838058076614091,-3.7838890650078882,-4.767694872669297
URY,Uruguay,URY,2025,3,2025.5,2025-Q3,2025q3,0.0084598499244079,-0.9931707282543285,-3.7792531166987122,-4.772423844953041
USA,United States,USA,1987,1,1987.0,1987-Q1,1987q1,0.018113350187662,0.47024384815254816,-4.481349881312092,-4.011106033159544
USA,United States,USA,1987,2,1987.25,1987-Q2,1987q2,0.018151641100884,0.45771972245291526,-4.466714026030236,-4.008994303577321
USA,United States,USA,1987,3,1987.5,1987-Q3,1987q3,0.0181859966100202,0.45330218872546535,-4.460405586809914,-4.007103398084449
USA,United States,USA,1987,4,1987.75,1987-Q4,1987q4,0.0183861711421826,0.45626578734159384,-4.452422252637521,-3.996156465295927
USA,United States,USA,1988,1,1988.0,1988-Q1,1988q1,0.0184037504785429,0.4471221246622865,-4.442322929444476,-3.9952008047821894
USA,United States,USA,1988,2,1988.25,1988-Q2,1988q2,0.018560399155957,0.45252915019359286,-4.439254195801248,-3.9867250456076553
USA,United States,USA,1988,3,1988.5,1988-Q3,1988q3,0.0185565319712733,0.4428736926677428,-4.429807116747446,-3.986933424079703
USA,United States,USA,1988,4,1988.75,1988-Q4,1988q4,0.0186898160272508,0.44388319164841805,-4.4236596925903,-3.9797765009418815
USA,United States,USA,1989,1,1989.0,1989-Q1,1989q1,0.0187495440604009,0.4452291551211589,-4.421814998761152,-3.9765858436399935
USA,United States,USA,1989,2,1989.25,1989-Q2,1989q2,0.0188358986824723,0.44136853397302556,-4.4133592595184385,-3.971990725545413
USA,United States,USA,1989,3,1989.5,1989-Q3,1989q3,0.0189066897597357,0.4394316158062752,-4.407671079808729,-3.968239464002454
USA,United States,USA,1989,4,1989.75,1989-Q4,1989q4,0.0189030324922708,0.432374334689551,-4.400807255150211,-3.9684329204606597
USA,United States,USA,1990,1,1990.0,1990-Q1,1990q1,0.0188261448669573,0.41419667583461584,-4.3867053666741995,-3.9725086908395837
USA,United States,USA,1990,2,1990.25,1990-Q2,1990q2,0.0189822706592555,0.42162061621552116,-4.385870474858766,-3.964249858643245
USA,United States,USA,1990,3,1990.5,1990-Q3,1990q3,0.019036107254255,0.4224545867083416,-4.383872308162186,-3.961417721453844
USA,United States,USA,1990,4,1990.75,1990-Q4,1990q4,0.0189261599447628,0.4112310640282222,-4.378441253899963,-3.9672101898717407
USA,United States,USA,1991,1,1991.0,1991-Q1,1991q1,0.0189496590896228,0.4156263750962834,-4.381595712705327,-3.9659693376090432
USA,United States,USA,1991,2,1991.25,1991-Q2,1991q2,0.0190883697388279,0.41842681500471945,-4.377102858595306,-3.9586760435905863
USA,United States,USA,1991,3,1991.5,1991-Q3,1991q3,0.0191873425241602,0.42010525496948903,-4.373609715847781,-3.953504460878292
USA,United States,USA,1991,4,1991.75,1991-Q4,1991q4,0.0192534513334825,0.4194159631514984,-4.3694809074193435,-3.950064944267845
USA,United States,USA,1992,1,1992.0,1992-Q1,1992q1,0.0194533885661549,0.4189794350838021,-4.358713439836327,-3.939734004752525
USA,United States,USA,1992,2,1992.25,1992-Q2,1992q2,0.0195855507099871,0.42674264854192634,-4.35970584183366,-3.9329631932917333
USA,United States,USA,1992,3,1992.5,1992-Q3,1992q3,0.0197157585459592,0.4277651128307034,-4.354102149648513,-3.92633703681781
USA,United States,USA,1992,4,1992.75,1992-Q4,1992q4,0.0198988082379403,0.43718453734536533,-4.3542799739310745,-3.917095436585709
USA,United States,USA,1993,1,1993.0,1993-Q1,1993q1,0.0198709511254514,0.42069135210165953,-4.339187708254939,-3.9184963561532795
USA,United States,USA,1993,2,1993.25,1993-Q2,1993q2,0.0198781821869356,0.4144443371450808,-4.33257685836857,-3.9181325212234897
USA,United States,USA,1993,3,1993.5,1993-Q3,1993q3,0.0198615637861075,0.4062552269891109,-4.325224109965294,-3.9189688829761833
USA,United States,USA,1993,4,1993.75,1993-Q4,1993q4,0.0200198299318361,0.4069993438004733,-4.3180313438449,-3.9110320000444263
USA,United States,USA,1994,1,1994.0,1994-Q1,1994q1,0.0200993300668882,0.4011432423940531,-4.308212036872179,-3.907068794478126
USA,United States,USA,1994,2,1994.25,1994-Q2,1994q2,0.0202680533526344,0.40667983004664787,-4.305389189060465,-3.898709359013817
USA,United States,USA,1994,3,1994.5,1994-Q3,1994q3,0.0202462235777341,0.3963277266506928,-4.2961147194601415,-3.8997869928094486
USA,United States,USA,1994,4,1994.75,1994-Q4,1994q4,0.0202703827424688,0.3872362493797281,-4.285830685862666,-3.898594436482938
USA,United States,USA,1995,1,1995.0,1995-Q1,1995q1,0.0203115762253876,0.38853677853544966,-4.285101076596557,-3.896564298061107
USA,United States,USA,1995,2,1995.25,1995-Q2,1995q2,0.020385727543068,0.38854646140971205,-4.281466714638893,-3.892920253229181
USA,United States,USA,1995,3,1995.5,1995-Q3,1995q3,0.0205162081077751,0.39183748856311507,-4.2783775543879115,-3.8865400658247964
USA,United States,USA,1995,4,1995.75,1995-Q4,1995q4,0.0206166528339503,0.39378985416437606,-4.275445993924598,-3.881656139760222
USA,United States,USA,1996,1,1996.0,1996-Q1,1996q1,0.0207200624829874,0.39544855724206673,-4.272101403249273,-3.8766528460072065
USA,United States,USA,1996,2,1996.25,1996-Q2,1996q2,0.0209230265297466,0.4012779139268896,-4.2681828925822245,-3.866904978655335
USA,United States,USA,1996,3,1996.5,1996-Q3,1996q3,0.0209666918811553,0.40290402227049826,-4.267724223616251,-3.864820201345753
USA,United States,USA,1996,4,1996.75,1996-Q4,1996q4,0.0210879279902157,0.4020712939955571,-4.261125829391439,-3.859054535395882
USA,United States,USA,1997,1,1997.0,1997-Q1,1997q1,0.0211079713627928,0.4003537791021978,-4.258458299241057,-3.858104520138859
USA,United States,USA,1997,2,1997.25,1997-Q2,1997q2,0.0213301266324731,0.39774877469323044,-4.245383584384926,-3.8476348096916952
USA,United States,USA,1997,3,1997.5,1997-Q3,1997q3,0.0214756478012844,0.3998497438287476,-4.240685390027224,-3.8408356461984763
USA,United States,USA,1997,4,1997.75,1997-Q4,1997q4,0.0215671107865035,0.4006328281628777,-4.237218601635603,-3.8365857734727253
